uid,time,trade_id,price,amount,exchange,instrmnt,vol_dllr,sell2,Class,Asset,datetime,year,hour
89492579,1660525532000.0,60127399,63.744,0.6155420000313756,polo,ltc-usdt,39.23710925,0.0,spot,ltc,2022-08-15 01:05:32,2022,1
89492580,1660525540000.0,60127400,63.814,0.16321099993731783,polo,ltc-usdt,10.41514675,0.0,spot,ltc,2022-08-15 01:05:40,2022,1
89492581,1660525540000.0,60127401,63.743,0.22110900004706396,polo,ltc-usdt,14.09415099,0.0,spot,ltc,2022-08-15 01:05:40,2022,1
89492582,1660525546000.0,60127402,63.715,0.6880890000784744,polo,ltc-usdt,43.84159064,0.0,spot,ltc,2022-08-15 01:05:46,2022,1
89492583,1660525547000.0,60127403,63.731,0.03887500007845475,polo,ltc-usdt,2.47754263,0.0,spot,ltc,2022-08-15 01:05:47,2022,1
89492584,1660525550000.0,60127404,63.734,0.5857190000627609,polo,ltc-usdt,37.33021475,0.0,spot,ltc,2022-08-15 01:05:50,2022,1
89492585,1660525556000.0,60127405,63.812,0.10296599996865793,polo,ltc-usdt,6.57046639,0.0,spot,ltc,2022-08-15 01:05:56,2022,1
89492586,1660525556000.0,60127406,63.733,0.2813539999686191,polo,ltc-usdt,17.93153448,0.0,spot,ltc,2022-08-15 01:05:56,2022,1
89492587,1660525559000.0,60127407,63.734,0.2956559999372391,polo,ltc-usdt,18.8433395,0.0,spot,ltc,2022-08-15 01:05:59,2022,1
89492588,1660525567000.0,60127408,63.775,0.38150300007840066,polo,ltc-usdt,24.33035383,0.0,spot,ltc,2022-08-15 01:06:07,2022,1
89492589,1660525572000.0,60127409,63.734,0.180425,polo,ltc-usdt,11.49920695,0.0,spot,ltc,2022-08-15 01:06:12,2022,1
89492590,1660525573000.0,60127410,63.734,0.003525,polo,ltc-usdt,0.22466235,0.0,spot,ltc,2022-08-15 01:06:13,2022,1
89492591,1660525573000.0,60127411,63.734,0.03706900006276085,polo,ltc-usdt,2.36255565,0.0,spot,ltc,2022-08-15 01:06:13,2022,1
89492592,1660525578000.0,60127412,63.828,0.11369700006266842,polo,ltc-usdt,7.25705212,0.0,spot,ltc,2022-08-15 01:06:18,2022,1
89492593,1660525578000.0,60127413,63.828,0.0011660000313342108,polo,ltc-usdt,0.07442345,0.0,spot,ltc,2022-08-15 01:06:18,2022,1
89492594,1660525578000.0,60127414,63.774,0.2828140000627215,polo,ltc-usdt,18.03618004,0.0,spot,ltc,2022-08-15 01:06:18,2022,1
89492595,1660525578000.0,60127415,63.72,0.10034,polo,ltc-usdt,6.3936648,0.0,spot,ltc,2022-08-15 01:06:18,2022,1
89492596,1660525585000.0,60127416,63.749,0.17535899998431348,polo,ltc-usdt,11.17896089,0.0,spot,ltc,2022-08-15 01:06:25,2022,1
89492597,1660525585000.0,60127417,63.721,0.20896099998430662,polo,ltc-usdt,13.31520388,0.0,spot,ltc,2022-08-15 01:06:25,2022,1
89492598,1660525598000.0,60127418,63.71,0.6097509999999999,polo,ltc-usdt,38.84723621,0.0,spot,ltc,2022-08-15 01:06:38,2022,1
89492599,1660525607000.0,60127419,63.71,0.392536,polo,ltc-usdt,25.00846856,0.0,spot,ltc,2022-08-15 01:06:47,2022,1
89492600,1660525616000.0,60127420,63.71,0.695134,polo,ltc-usdt,44.28698714,0.0,spot,ltc,2022-08-15 01:06:56,2022,1
89492601,1660525620000.0,60127421,63.711,0.6159250000784794,polo,ltc-usdt,39.24119768,0.0,spot,ltc,2022-08-15 01:07:00,2022,1
89492602,1660525629000.0,60127422,63.71,0.681218,polo,ltc-usdt,43.40039878,0.0,spot,ltc,2022-08-15 01:07:09,2022,1
